name,year,Price,kms_driven,fuel_type,company
Hyundai i20 Active,2015,500000,18000,Petrol,Hyundai
Mahindra Xylo E4,2012,400000,35000,Diesel,Mahindra
Hyundai Grand i10,2017,524999,6821,Petrol,Hyundai
Hyundai i20,2014,449999,23000,Petrol,Hyundai
Hyundai Eon,2014,174999,14000,Petrol,Hyundai
Hyundai i10,2012,244999,38000,Petrol,Hyundai
Hyundai i20 Active,2015,574999,35000,Diesel,Hyundai
Datsun Redi GO,2017,244999,22000,Petrol,Datsun
Toyota Etios Liva,2011,239999,41000,Petrol,Toyota
Hyundai Accent,2010,99999,45000,Petrol,Hyundai
Hyundai Verna,2014,489999,44000,Diesel,Hyundai
Maruti Suzuki Swift,2013,324999,45000,Diesel,Maruti
Toyota Fortuner,2011,1074999,52000,Diesel,Toyota
Hyundai i10 Sportz,2012,230000,34000,Petrol,Hyundai
Mahindra Bolero Power,2018,699000,1800,Diesel,Mahindra
Mahindra XUV500,2015,1000000,15000,Diesel,Mahindra
Honda City 1.5,2010,240000,400000,Petrol,Honda
Chevrolet Spark LT,2009,110000,44000,Petrol,Chevrolet
Mahindra Jeep MM,2019,390000,60,Diesel,Mahindra
Renault Duster 110PS,2012,501000,35000,Diesel,Renault
Mahindra XUV500,2016,1130000,72000,Diesel,Mahindra
Tata Indigo eCS,2014,250000,40000,Diesel,Tata
Mahindra Bolero SLE,2013,330000,80200,Diesel,Mahindra
Force Motors Force,2015,580000,3200,Diesel,Force
Skoda Rapid Elegance,2013,340000,48000,Diesel,Skoda
Tata Vista Quadrajet,2011,120000,90000,Diesel,Tata
Maruti Suzuki Alto,2015,265000,12000,Petrol,Maruti
Maruti Suzuki SX4,2012,265000,46000,Diesel,Maruti
Maruti Suzuki Zen,2003,85000,69900,Petrol,Maruti
Mahindra Jeep CL550,2019,379000,0,Diesel,Mahindra
Hyundai i10 Magna,2011,175000,45000,Petrol,Hyundai
Maruti Suzuki Alto,2015,219000,5000,Petrol,Maruti
Maruti Suzuki Swift,2016,350000,166000,Diesel,Maruti
Honda City ZX,2008,149000,42000,Petrol,Honda
Mahindra Jeep CL550,2018,385000,588,Diesel,Mahindra
Mahindra Jeep MM,2006,425000,122,Diesel,Mahindra
Chevrolet Beat Diesel,2017,150000,62000,Diesel,Chevrolet
Honda City 1.5,2010,225000,70000,Petrol,Honda
Hyundai Verna 1.4,2014,375000,36000,Petrol,Hyundai
Toyota Innova 2.5,2012,770000,0,Diesel,Toyota
Maruti Suzuki Maruti,1995,30000,55000,Petrol,Maruti
Toyota Etios,2011,275000,36000,Diesel,Toyota
Volkswagen Polo,2015,330000,38000,Diesel,Volkswagen
Maruti Suzuki Swift,2014,335000,55000,Diesel,Maruti
Hyundai Elite i20,2015,450000,20000,Diesel,Hyundai
Maruti Suzuki Swift,2012,225000,40000,Petrol,Maruti
Maruti Suzuki Versa,2004,80000,50000,Petrol,Maruti
Tata Indigo LX,2016,130000,104000,Diesel,Tata
Volkswagen Vento Konekt,2011,245000,65000,Diesel,Volkswagen
Mercedes Benz C,2002,399000,41000,Petrol,Mercedes
Maruti Suzuki Ertiga,2013,450000,90000,Diesel,Maruti
Honda City,2000,65000,80000,Petrol,Honda
Hyundai Santro Xing,2006,75000,46000,Petrol,Hyundai
Maruti Suzuki Omni,2001,70000,70000,Petrol,Maruti
Hyundai Sonata Transform,2017,190000,36469,Diesel,Hyundai
Hyundai Elite i20,2018,600000,7800,Petrol,Hyundai
Volkswagen Vento Konekt,2011,245000,65000,Diesel,Volkswagen
Maruti Suzuki Alto,2017,240000,60000,Petrol,Maruti
Maruti Suzuki Alto,2011,155000,32000,Petrol,Maruti
Honda Jazz S,2009,169999,24695,Petrol,Honda
Hyundai Grand i10,2017,450000,15141,Petrol,Hyundai
Maruti Suzuki Zen,2001,40000,40000,Petrol,Maruti
Mahindra Scorpio W,2012,165000,65000,Diesel,Mahindra
Maruti Suzuki Alto,2014,270000,22000,Petrol,Maruti
Hyundai Grand i10,2016,280000,59910,Diesel,Hyundai
Mahindra XUV500 W8,2012,560000,100000,Diesel,Mahindra
Hyundai Creta 1.6,2016,950000,25000,Petrol,Hyundai
Hyundai i20 Magna,2013,310000,35000,Petrol,Hyundai
Renault Duster 85,2015,715000,65000,Diesel,Renault
Hyundai Grand i10,2014,340000,35000,Petrol,Hyundai
Honda Brio V,2012,235000,33000,Petrol,Honda
Mahindra TUV300 T4,2017,610000,68000,Diesel,Mahindra
Chevrolet Spark LS,2010,95000,23000,Petrol,Chevrolet
Mahindra TUV300 T8,2018,1000000,4500,Diesel,Mahindra
Maruti Suzuki Swift,2015,220000,129000,Diesel,Maruti
Nissan X Trail,2019,1200000,300,Diesel,Nissan
Maruti Suzuki Alto,2015,230000,5000,Petrol,Maruti
Ford Ikon 1.3,2001,45000,65000,Petrol,Ford
Toyota Fortuner 3.0,2010,940000,131000,Diesel,Toyota
Tata Manza ELAN,2010,155555,111111,Petrol,Tata
Mercedes Benz A,2013,1500000,14000,Petrol,Mercedes
Chevrolet Beat LS,2016,210000,22000,Diesel,Chevrolet
Ford EcoSport Trend,2013,495000,38000,Diesel,Ford
Tata Indigo LS,2016,125000,70000,Diesel,Tata
Hyundai i20 Magna,2010,195000,36000,Petrol,Hyundai
